"commodity","year","production_tonnes","unit","source_name","source_url"
"cobalt","1970","2052","tonnes (metal content), mine production","British Geological Survey, World Mineral Statistics (OGC API, world-mineral-statistics collection)","https://ogcapi.bgs.ac.uk/collections/world-mineral-statistics/items?country_iso3_code=ZMB&bgs_commodity_trans=cobalt%2C%20mine"
"cobalt","1971","2079","tonnes (metal content), mine production","British Geological Survey, World Mineral Statistics (OGC API, world-mineral-statistics collection)","https://ogcapi.bgs.ac.uk/collections/world-mineral-statistics/items?country_iso3_code=ZMB&bgs_commodity_trans=cobalt%2C%20mine"
"cobalt","1972","5200","tonnes (metal content), mine production","British Geological Survey, World Mineral Statistics (OGC API, world-mineral-statistics collection)","https://ogcapi.bgs.ac.uk/collections/world-mineral-statistics/items?country_iso3_code=ZMB&bgs_commodity_trans=cobalt%2C%20mine"
"cobalt","1973","4900","tonnes (metal content), mine production","British Geological Survey, World Mineral Statistics (OGC API, world-mineral-statistics collection)","https://ogcapi.bgs.ac.uk/collections/world-mineral-statistics/items?country_iso3_code=ZMB&bgs_commodity_trans=cobalt%2C%20mine"
"cobalt","1974","3000","tonnes (metal content), mine production","British Geological Survey, World Mineral Statistics (OGC API, world-mineral-statistics collection)","https://ogcapi.bgs.ac.uk/collections/world-mineral-statistics/items?country_iso3_code=ZMB&bgs_commodity_trans=cobalt%2C%20mine"
"cobalt","1975","4900","tonnes (metal content), mine production","British Geological Survey, World Mineral Statistics (OGC API, world-mineral-statistics collection)","https://ogcapi.bgs.ac.uk/collections/world-mineral-statistics/items?country_iso3_code=ZMB&bgs_commodity_trans=cobalt%2C%20mine"
"cobalt","1976","2175","tonnes (metal content), mine production","British Geological Survey, World Mineral Statistics (OGC API, world-mineral-statistics collection)","https://ogcapi.bgs.ac.uk/collections/world-mineral-statistics/items?country_iso3_code=ZMB&bgs_commodity_trans=cobalt%2C%20mine"
"cobalt","1977","1704","tonnes (metal content), mine production","British Geological Survey, World Mineral Statistics (OGC API, world-mineral-statistics collection)","https://ogcapi.bgs.ac.uk/collections/world-mineral-statistics/items?country_iso3_code=ZMB&bgs_commodity_trans=cobalt%2C%20mine"
"cobalt","1978","2063","tonnes (metal content), mine production","British Geological Survey, World Mineral Statistics (OGC API, world-mineral-statistics collection)","https://ogcapi.bgs.ac.uk/collections/world-mineral-statistics/items?country_iso3_code=ZMB&bgs_commodity_trans=cobalt%2C%20mine"
"cobalt","1979","3176","tonnes (metal content), mine production","British Geological Survey, World Mineral Statistics (OGC API, world-mineral-statistics collection)","https://ogcapi.bgs.ac.uk/collections/world-mineral-statistics/items?country_iso3_code=ZMB&bgs_commodity_trans=cobalt%2C%20mine"
"cobalt","1980","3310","tonnes (metal content), mine production","British Geological Survey, World Mineral Statistics (OGC API, world-mineral-statistics collection)","https://ogcapi.bgs.ac.uk/collections/world-mineral-statistics/items?country_iso3_code=ZMB&bgs_commodity_trans=cobalt%2C%20mine"
"cobalt","1981","2570","tonnes (metal content), mine production","British Geological Survey, World Mineral Statistics (OGC API, world-mineral-statistics collection)","https://ogcapi.bgs.ac.uk/collections/world-mineral-statistics/items?country_iso3_code=ZMB&bgs_commodity_trans=cobalt%2C%20mine"
"cobalt","1982","2446","tonnes (metal content), mine production","British Geological Survey, World Mineral Statistics (OGC API, world-mineral-statistics collection)","https://ogcapi.bgs.ac.uk/collections/world-mineral-statistics/items?country_iso3_code=ZMB&bgs_commodity_trans=cobalt%2C%20mine"
